[34m[1mdetect: [0mweights=['/kaggle/working/yolov5/detection/car-detection/weights/best.pt'], source=/kaggle/input/video-data/traffic_test.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_format=0, save_csv=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=detection, name=traffic_test_inference, exist_ok=True, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1
YOLOv5 🚀 v7.0-421-g79c4c31d Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)

Fusing layers... 
Model summary: 157 layers, 7015519 parameters, 0 gradients, 15.8 GFLOPs
video 1/1 (1/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 27.1ms
video 1/1 (2/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (3/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (4/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (5/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (6/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (7/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (8/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (9/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (10/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (11/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (12/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (13/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (14/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (15/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (16/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (17/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (18/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (19/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (20/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (21/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (22/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (23/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (24/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (25/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (26/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (27/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.5ms
video 1/1 (28/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (29/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 5 not-cars, 7.5ms
video 1/1 (30/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 6 not-cars, 7.5ms
